inflfn,measure,rmse,trendfn,std_sim_error,me,nsim,params,resamplefn,mse,corr,mae,path
PercWeighted-65.0,Percentil ponderado 65.0,1.4111027,TrendRandomWalk,0.014439049044722192,-0.40738,125000,"(0.65f0,)",ResampleSBB-36,3.1941924,0.84070885,1.4111027,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-65.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-66.0,Percentil ponderado 66.0,1.4015781,TrendRandomWalk,0.014994222168998364,-0.1964413,125000,"(0.66f0,)",ResampleSBB-36,3.210051,0.84302515,1.4015781,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-66.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-64.0,Percentil ponderado 64.0,1.4405282,TrendRandomWalk,0.014482868280181999,-0.6119414,125000,"(0.64f0,)",ResampleSBB-36,3.2787254,0.83807725,1.4405282,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-64.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-67.0,Percentil ponderado 67.0,1.4112101,TrendRandomWalk,0.01632314264827778,0.027128782,125000,"(0.67f0,)",ResampleSBB-36,3.3413327,0.84568727,1.4112101,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-67.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-63.0,Percentil ponderado 63.0,1.4846613,TrendRandomWalk,0.014955672301126783,-0.8110562,125000,"(0.63f0,)",ResampleSBB-36,3.4409602,0.83582973,1.4846613,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-63.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-68.0,Percentil ponderado 68.0,1.4449601,TrendRandomWalk,0.018432990956847545,0.25268573,125000,"(0.68f0,)",ResampleSBB-36,3.614119,0.8472389,1.4449601,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-68.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-62.0,Percentil ponderado 62.0,1.5416988,TrendRandomWalk,0.015775046148453983,-1.0024348,125000,"(0.62f0,)",ResampleSBB-36,3.6712606,0.83395123,1.5416988,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-62.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-61.0,Percentil ponderado 61.0,1.6186013,TrendRandomWalk,0.016940508336566202,-1.1834793,125000,"(0.61f0,)",ResampleSBB-36,4.002891,0.8304333,1.6186013,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-61.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-69.0,Percentil ponderado 69.0,1.5001419,TrendRandomWalk,0.02123319520313169,0.48937923,125000,"(0.69f0,)",ResampleSBB-36,4.0280256,0.8485575,1.5001419,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-69.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-60.0,Percentil ponderado 60.0,1.7032561,TrendRandomWalk,0.018174667864702454,-1.3654985,125000,"(0.6f0,)",ResampleSBB-36,4.376578,0.8286845,1.7032561,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-60.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
