Code,GoodOrService,Weight
_011111,Arroz,0.483952
_011121,Pan,2.826375997
_011131,Pastas frescas y secas,0.341395
_011141,Productos de tortillería,1.691333999
_011142,Productos de pastelería y repostería,0.307019002
_011151,Maíz,0.828818351
_011152,Otros cereales,0.547154
_011153,Harina de maíz,0.09369807
_011154,Molienda de Maiz,0.121335579
_011211,"Carne bovina fresca, refrigerada o congelada",3.401462999
_011221,"Carne de cerdo fresca, refrigerada o congelada",0.448869999
_011231,"Carne de aves fresca, refrigerada o congelada",2.579463999
_011241,"Embutidos frescos o refrigerados, menudencias",0.827546999
_011311,"Pescado fresco o seco, refrigerado o congelado, ahumano o salado",0.273838998
_011321,Mariscos frescos y/o refrigerados,0.103932
_011331,"Pescados y mariscos elaborados, preservados y/o en conserva",0.037345
_011411,"Leche líquida fresca, descremada, pasteurizada o esterilizada y leche preservada, condensada, evaporada o en polvo",1.268167
_011421,Queso,0.615333
_011431,Otros productos lácteos,0.524509
_011441,Huevos,1.402536999
_011511,Aceites y vegetales,0.448788
_011521,Margarinas y otras grasas,0.139082
_011611,Aguacates,0.153078
_011612,Bananos o guineos,0.116945
_011613,Manzanas de cualquier variedad,0.093672
_011614,Naranjas,0.097764
_011615,Plátanos,0.173246
_011616,Otras frutas frescas,0.593082001
_011621,Frutas secas o en conserva,0.055364
_011711,Tomate,0.736092
_011712,Güisquil,0.156626
_011713,Otras verduras y hortalizas,0.494913002
_011721,Frijol,1.175503
_011722,Otras legumbres o leguminosas,0.197185
_011731,Cebolla,0.278086
_011732,Papa o patata,0.369655
_011733,Zanahoria,0.119455
_011734,Otras tuberosas frescas,0.084203
_011741,Cominos,0.024998
_011742,Culantro o cilantro,0.021526
_011743,Otras hierbas culinarias,0.107546
_011811,Azúcar,1.009688
_011821,"Mermeladas, compotas, gelatinas y jaleas",0.067571
_011831,Productos de confitería,0.085297
_011841,"Granizadas, helados de hielo y de leche",0.197633
_011911,Café,0.50097
_011921,Mayonesa,0.076211
_011922,Salsa de tomate,0.103215
_011923,Otras salsas y condimentos,0.062679
_011931,Sal,0.04263
_011932,"Especias, aderezos y productos aromáticos",0.046087
_011941,Levadura preparación de postres y sopas,0.300441998
_011951,Otros productos alimenticios no clasificados en otro subgrupo unitario,0.257774
_012111,Agua,0.213939
_012121,Bebidas gaseosas,1.035795
_012131,Jugos,0.190757
_012132,Refrescos,0.155591
_012211,Comidas preparadas para llevar a domicilio,0.862272
_012221,Almuerzo,5.139340998
_012222,Desayuno (o cena),2.861801999
_012223,Refacciones,0.98301799
_012231,"Golosinas, productos sintéticos y otras comidas preparadas fuera del hogar",0.19253
_021111,Pantalones y overoles para niños menores de 3 años.,0.01637
_021121,"Camisas, blusas, playeras, camisetas y similares para niños menores de 3 años",0.021722
