Code,GoodOrService,Weight
_0111101,Arroz,0.63244
_0111201,Harina,0.17119
_0111202,Maíz,1.33671
_0111203,Cereales,0.93761
_0111301,Pan,2.61053
_0111302,Galletas,0.08589
_0111303,Productos de repostería,0.1179
_0111401,Pastas,0.47925
_0111501,Productos de tortillería,3.01265
_0112101,Carne de res,2.31192
_0112201,Carne de cerdo,0.31303
_0112301,Carne de pollo,2.34753
_0112401,Embutidos,0.68868
_0113101,Pescados,0.29265
_0113201,Mariscos,0.02759
_0114101,Leche,0.67302
_0114102,Yogur,0.04854
_0114301,Quesos,0.78757
_0114401,Huevos,1.6646
_0115101,Margarina,0.06572
_0115201,Aceites,0.47821
_0116101,Aguacate,0.16707
_0116102,Banano,0.10142
_0116103,Manzana,0.07284
_0116104,Naranja,0.06213
_0116105,Plátano,0.1739
_0116106,Frutas de estación,0.31913
_0116201,Frutas en conserva,0.01607
_0117101,Tomate,0.92386
_0117102,Güisquil,0.1709
_0117103,Chile pimiento,0.05247
_0117104,Pepino,0.04363
_0117105,Güicoy,0.03236
_0117106,Repollo,0.06225
_0117107,Lechuga,0.03506
_0117108,Frijol,1.43142
_0117109,Ejotes,0.06273
_0117110,Elote,0.0469
_0117111,Cebolla,0.33668
_0117112,Papa,0.50577
_0117113,Zanahoria,0.11521
_0117114,Rábano,0.02637
_0117115,Remolacha,0.01255
_0117116,Yuca,0.02138
_0117117,Brócoli,0.02672
_0117118,Culantro,0.03903
_0117119,Hierbabuena,0.00774
_0117120,Otras legumbres y hortalizas,0.11258
_0118101,Azúcar,1.26957
_0118201,Jaleas,0.00202
_0118202,Compotas,0.00998
_0118301,Dulces,0.05395
_0118401,Helados,0.02008
_0119101,Salsa de tomate,0.14512
_0119102,Pasta de tomate,0.00898
_0119103,Mayonesa y mostaza,0.06549
_0119104,Sazonadores,0.02862
_0119105,Sal,0.05886
_0119201,Canela,0.01127
_0119202,Pepitoria y manía,0.01734
_0119203,Chiles picantes,0.03895
_0119301,Consomé de pollo,0.17745
_0119302,Sopas concentradas en sobre,0.13894
_0119303,Sopas instantaneas,0.22911
_0119304,Polvos para gelatina,0.00921
_0119305,Alimentos enlatados,0.22394
_0121101,Café instantaneo,0.19835
_0121102,Otras bebidas,0.26236
_0121201,Agua envasada,0.3389
_0121301,Aguas gaseosas,0.93963
_0121401,Polvo para refresco,0.14155
_0121402,Jugos de frutas,0.21301
_0121501,Refrescos naturales,0.05462
_0121502,Refrescos artificiales,0.03039
_0211101,Licores varios,0.04282
_0212101,Vino blanco,0.00133
_0212102,Vino tinto,0.00263
_0213101,Cerveza,0.15639
_0221101,Cigarrillos de tabaco,0.07253
_0311101,Telas para confección de vestuario,0.07867
_0312101,Pantalón para hombre,0.79139
_0312102,Camisa para hombre,0.41351
_0312103,Traje para hombre,0.06553
_0312104,Ropa deportiva para hombre,0.17061
_0312105,Ropa interior y de dormir para hombre,0.14171
_0312201,Pantalón y falda para mujer,0.50875
_0312202,Blusa para mujer,0.68391
_0312203,Otro vestuario de mujer,0.22983
_0312204,Ropa interior y de dormir para mujer,0.30877
_0312301,Pantalón y pantaloneta para niño,0.274
_0312302,"Pantalón, falda y short  para niña",0.07286
_0312303,Camisa y playera para niño,0.06685
_0312304,Blusa para niña,0.07299
_0312305,Vestido para niña,0.054
_0312306,Camiseta para niño,0.01024
_0312401,Pijama para bebé,0.02168
_0312501,Uniforme escolar,0.21075
_0313101,Artículos varios de vestuario,0.27892
_0313102,Otras prendas de vestir,0.43821
_0314101,Servicio de limpieza de prendas de vestir,0.04023
_0321101,Zapatos para hombre,1.06972
_0321201,Zapatos varios para mujer,0.10553
_0321202,Zapatos para mujer,0.47625
_0321203,Zapatos varios para mujer,0.30705
_0321301,Calzado para niño,0.29982
_0321302,Calzado para niña,0.20269
_0322101,Servicio de reparación de calzado,0.01128
_0411101,Alquiler de vivienda,3.05838
_0421101,Materiales diversos para reparación  de vivienda,0.95035
_0421102,Trabajos para vivienda,0.1302
_0421103,Artículos para electricidad y grifería,0.05534
_0422101,Servicio de mantenimiento de vivienda,0.7796
_0431101,Agua potable,0.75775
_0432101,Servicio de retiro de basura,0.23389
_0441101,Servicio de electricidad,3.29469
_0442101,Gas propano,1.19963
_0443101,Carbón,0.02683
_0443102,Leña,2.12782
_0511101,Cama,0.23131
_0511102,Cuna,0.01425
_0511103,Juego de comedor,0.02852
_0511104,Muebles para cocina,0.04743
_0511105,Juego de sala,0.07145
_0511106,Muebles modulares,0.13286
_0511201,Alfombra,0.00341
_0511202,"Puertas, lamparas y varios",0.07586
_0521101,Cubrecama,0.12067
_0521102,Sábana,0.09676
_0521103,Poncho y frazadas,0.09029
_0521104,Mantel,0.07037
_0521105,Cortinas,0.03955
_0522101,Estufa,0.16627
_0522102,Refrigerador,0.27033
_0522103,Lavadora,0.12162
_0523101,Horno de microondas,0.04205
_0523102,Licuadora,0.00722
_0523103,Ventilador,0.01391
_0523104,Plancha eléctrica,0.02929
_0531101,Vajillas,0.06167
_0531102,Baterias de cocina,0.16766
_0531103,Juegos de vasos,0.04953
_0531104,Utencilios de cocina,0.09689
_0541101,Barreno eléctrico,0.00198
_0541201,Martillo,0.00373
_0541202,Machete,0.01654
_0541203,Serrucho,0.00394
_0541204,Desarmadores,0.00029
_0551101,Aromatizador y desinfectante,0.0316
_0551102,Detergente para ropa,1.96872
_0551103,Jabón varias clases,0.30491
_0551201,Artículos para limpieza del hogar,0.62636
_0551202,Fosforos,0.12998
_0551203,Servilletas de papel,0.06648
_0551204,Veladoras y candelas,0.17985
_0552101,Servicio doméstico por mes,0.01608
_0552102,Lavado de ropa diversa,0.02567
_0611101,Analgésico y antiinflamatorio,0.18978
_0611102,Antiacido y antiulceroso,0.11085
_0611103,Antialérgico,0.03747
_0611104,Antibiótico,0.28968
_0611105,Antigripal,0.3175
_0611106,Antihipertensor,0.27507
_0611107,Vacunas de prevención,0.0614
_0611108,Dermatológico,0.0517
