Date,_011111,_011121,_011131,_011141,_011142,_011151,_011152,_011153,_011154,_011211,_011221,_011231,_011241,_011311,_011321,_011331,_011411,_011421,_011431,_011441,_011511,_011521,_011611,_011612,_011613,_011614,_011615,_011616,_011621,_011711,_011712,_011713,_011721,_011722,_011731,_011732,_011733,_011734,_011741,_011742,_011743,_011811,_011821,_011831,_011841,_011911,_011921,_011922,_011923,_011931,_011932,_011941,_011951,_012111,_012121,_012131,_012132,_012211,_012221,_012222,_012223,_012231,_021111,_021121,_021131,_021141,_021142,_021151,_021161,_021211,_021221,_021231,_021241,_021242,_021251,_021311,_021321,_021331,_021341,_021342,_021351,_021411,_021421,_021431,_021441,_021442,_021451,_021461,_021511,_021521,_022111,_022121,_022131,_022141,_031111,_032111,_032112,_032113,_032114,_032115,_032211,_033111,_033121,_033131,_033141,_033151,_041111,_041121,_041122,_041131,_041132,_041133,_041141,_041151,_041211,_041221,_041231,_042111,_042121,_043111,_043112,_043121,_043131,_043141,_043142,_043151,_043152,_044111,_044112,_044121,_044131,_044132,_045111,_046111,_046112,_046113,_046114,_046121,_046131,_046211,_051111,_051112,_051113,_051121,_051131,_051141,_051151,_051152,_051161,_051211,_052111,_052121,_052131,_061111,_061112,_061121,_061211,_061221,_061231,_061311,_061321,_061331,_062111,_062112,_062211,_062311,_062312,_071111,_071121,_071131,_071141,_071151,_072111,_073111,_073121,_073131,_074111,_074121,_075111,_075121,_075131,_075141,_076111,_076121,_077111,_077121,_078111,_081111,_081112,_081113,_081121,_081122,_081123,_081131,_081132,_081141,_081211,_081221,_081231,_082111,_082211,_091111,_091121,_091131,_091132,_091133,_091141,_091142,_091143,_091151,_091152,_091161,_092111,_092112,_092211,_093111,_093121,_094111
2000-12-01,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2001-01-01,100.55,103.23,101.66,106.47,100.36,100.00,102.57,100.00,100.00,101.03,101.20,100.54,101.51,102.12,103.14,100.61,101.19,101.07,100.38,101.55,100.64,100.81,115.78,101.45,99.34,103.64,104.57,103.41,100.22,93.86,104.20,106.78,100.11,109.77,101.07,105.55,104.68,99.07,100.26,106.84,100.58,100.33,100.82,100.56,101.02,102.15,101.51,100.43,100.45,101.87,102.27,100.45,100.24,100.48,100.49,100.38,100.91,101.32,101.60,100.64,100.43,101.40,99.99,99.97,100.25,100.40,102.07,100.37,100.96,100.18,100.05,101.18,99.87,101.48,101.19,101.89,100.15,97.98,103.55,103.20,102.31,101.37,100.82,99.97,101.21,100.91,101.48,100.65,100.52,101.42,100.32,100.19,101.27,101.96,100.27,100.90,101.58,100.16,100.46,104.72,100.00,100.00,100.98,107.50,100.69,100.00,99.86,101.15,100.85,97.33,103.11,103.36,99.96,99.96,101.19,100.04,99.98,99.97,100.50,101.99,100.23,100.49,101.80,100.08,101.53,100.24,100.18,99.74,100.79,102.12,100.00,101.95,101.49,99.08,97.69,109.58,100.86,100.25,101.09,101.27,101.38,101.70,100.51,101.67,100.66,100.95,100.53,100.26,100.16,100.11,99.47,102.15,100.90,100.15,100.03,100.31,101.77,100.01,95.42,100.32,100.00,101.64,100.09,100.29,102.55,100.00,100.00,100.38,100.32,100.77,100.23,100.00,100.10,100.56,100.62,99.94,100.43,100.86,102.47,100.00,100.67,106.13,100.00,99.97,100.77,99.24,100.87,106.50,106.19,105.91,108.61,107.45,96.63,110.84,107.02,100.02,100.55,102.30,101.73,105.01,100.61,102.72,101.85,101.73,99.95,101.46,100.47,102.45,100.94,100.35,102.46,101.69,99.97,100.90,100.30,101.17,100.00,106.55
2001-02-01,101.47,104.82,102.73,108.38,101.37,100.00,103.35,100.00,100.00,101.85,101.46,101.91,103.29,108.23,106.76,101.27,102.75,102.95,101.07,101.74,100.78,101.20,121.12,107.63,102.15,105.56,109.44,105.60,101.63,89.49,103.54,111.49,100.69,112.03,100.54,109.29,109.60,99.48,104.24,114.51,105.53,100.74,103.17,101.36,118.61,102.61,102.72,100.26,100.42,103.33,103.96,101.15,101.92,101.50,100.28,100.86,104.92,102.54,102.77,101.77,104.05,104.02,105.30,100.63,100.43,100.44,102.58,100.60,101.22,99.65,99.95,100.09,99.55,102.24,95.73,104.02,99.99,98.08,103.63,104.82,102.01,102.05,101.93,101.61,102.82,101.64,99.90,101.28,100.30,101.67,100.39,100.31,102.71,103.05,101.22,101.51,101.53,100.75,101.51,104.74,100.15,100.00,101.40,104.71,101.00,100.09,101.71,101.53,100.85,97.56,103.45,103.43,99.96,99.95,100.19,102.04,100.20,100.49,100.61,102.00,101.26,101.26,102.43,99.61,101.72,99.58,100.70,102.06,102.35,104.14,99.99,102.01,101.73,99.65,95.78,110.52,99.91,100.85,101.14,101.27,103.66,101.71,100.99,102.02,102.36,101.30,102.09,100.35,101.14,100.15,99.46,103.42,100.04,99.86,100.05,102.00,102.19,99.89,93.55,101.48,100.00,101.32,100.11,100.25,102.84,100.00,100.00,100.88,100.15,98.85,101.04,100.00,100.10,100.71,98.98,100.10,101.38,101.20,111.47,100.00,101.65,105.46,101.00,99.97,100.74,98.72,102.03,106.62,107.56,105.91,109.43,107.61,96.62,111.07,107.27,96.69,100.99,102.95,101.90,105.87,100.62,103.98,101.87,102.78,100.60,101.72,100.99,103.51,101.88,100.30,103.39,101.68,101.52,101.92,100.44,100.93,100.15,118.55
2001-03-01,101.44,107.74,104.90,103.76,101.32,100.00,104.27,100.00,100.00,102.15,101.48,101.23,105.57,107.56,112.36,102.04,104.55,103.17,103.91,98.75,100.96,101.26,123.86,104.17,100.73,107.43,102.09,109.50,101.74,91.04,108.95,113.23,100.74,108.95,96.65,112.12,103.70,97.82,106.90,113.14,96.90,100.64,102.64,104.92,117.09,103.82,102.96,100.06,99.67,103.77,103.90,101.54,101.04,102.06,102.14,101.55,106.15,103.09,103.10,102.53,100.79,105.06,106.44,100.85,100.36,100.33,102.68,100.58,101.76,100.08,100.46,99.92,100.13,102.22,96.25,103.32,100.11,96.83,103.75,105.52,102.02,101.70,102.16,101.39,103.62,101.95,99.69,101.71,106.94,102.52,100.62,100.60,102.73,103.47,101.52,101.57,102.20,100.86,102.18,104.77,103.23,102.65,101.43,102.91,100.95,100.10,101.61,101.36,101.65,97.57,103.41,103.49,100.35,102.32,100.19,102.04,102.83,101.75,101.90,102.38,100.89,101.01,102.51,99.04,103.01,98.62,101.28,103.65,102.35,104.14,100.97,102.60,100.89,100.12,95.60,111.16,100.94,101.16,102.03,101.72,104.70,102.94,101.15,103.11,102.48,101.03,102.09,100.30,101.16,100.86,99.47,104.47,100.46,101.81,100.41,102.32,104.52,99.88,92.09,102.25,100.13,100.08,101.13,101.62,102.69,100.00,101.38,100.67,99.73,98.99,101.06,100.24,100.22,100.99,99.20,100.00,103.16,101.56,111.85,100.00,102.62,106.23,101.00,99.97,113.71,117.47,102.77,106.62,107.56,105.91,109.44,107.62,96.63,111.15,107.29,96.84,101.24,103.60,103.59,110.62,100.62,102.77,102.29,103.36,100.79,102.10,102.19,103.08,102.35,101.28,103.80,102.17,103.99,102.48,101.68,100.94,101.14,118.56
2001-04-01,101.91,107.28,106.19,107.83,101.82,100.00,104.73,100.00,100.00,102.21,101.53,101.69,105.11,108.93,116.45,102.61,105.83,104.36,103.81,98.52,101.42,101.37,120.86,106.98,100.93,110.25,97.76,107.48,101.79,92.75,122.13,113.76,99.38,98.40,93.64,133.77,99.25,100.01,108.46,107.01,101.43,100.71,103.05,105.17,126.97,103.67,104.22,100.12,99.31,103.77,105.23,101.33,101.42,103.32,102.15,102.09,106.57,102.68,103.32,102.30,100.99,107.68,106.71,102.41,100.57,100.57,102.84,100.42,102.01,100.33,101.07,100.52,100.36,102.16,97.06,103.26,100.06,96.90,104.06,105.65,101.94,101.84,102.24,101.87,103.86,102.31,99.92,101.81,106.93,102.74,100.95,100.90,102.77,103.26,101.89,102.41,101.99,101.03,102.96,105.00,103.30,104.43,101.43,98.01,101.35,102.25,101.91,100.90,101.65,97.42,103.52,103.38,100.46,102.23,100.19,101.96,102.80,102.59,101.96,102.25,100.94,101.34,102.35,99.11,103.26,99.52,102.63,103.63,102.03,104.12,100.85,103.11,100.84,100.65,95.20,110.87,101.39,101.30,102.99,101.93,106.48,103.16,101.02,104.21,101.70,100.91,103.10,100.41,102.07,101.35,99.52,103.95,100.69,103.44,97.43,103.12,105.09,100.66,91.63,102.31,100.13,104.61,104.52,101.62,102.75,100.00,101.38,100.81,99.73,99.19,101.21,100.30,100.62,101.23,100.16,100.27,103.21,101.66,112.30,100.22,102.81,106.48,101.00,99.73,114.64,128.91,103.25,106.62,107.50,105.91,109.48,107.55,96.63,111.46,107.30,96.84,101.53,103.91,104.29,110.62,101.17,103.55,102.22,104.48,100.28,103.61,102.90,104.85,104.32,101.02,104.66,102.07,105.74,102.37,101.94,109.25,103.10,119.36
2001-05-01,102.77,106.12,106.90,109.16,101.81,100.00,105.21,100.00,100.00,102.77,101.47,101.84,104.92,107.43,113.76,103.56,107.26,103.85,104.38,98.12,101.54,101.99,123.92,100.23,101.14,113.31,92.22,98.27,102.73,84.61,134.51,111.01,99.80,93.69,88.39,152.80,100.76,98.60,112.59,99.12,118.35,101.22,103.51,105.27,128.07,104.08,104.00,100.10,99.24,104.29,104.52,101.29,101.76,103.79,102.39,103.38,106.58,103.28,105.05,106.59,102.03,107.62,106.33,101.88,101.09,100.19,103.53,100.95,101.88,100.74,101.19,100.82,100.64,102.29,97.37,103.44,100.10,97.02,103.50,106.18,101.76,102.00,102.24,101.73,103.79,102.61,99.86,102.06,107.22,102.53,100.56,101.65,103.16,101.09,102.53,102.35,101.93,101.12,103.40,104.93,103.14,104.43,102.00,95.90,100.06,102.25,101.81,101.05,102.05,97.34,103.60,103.91,100.46,102.16,100.20,102.17,102.86,102.66,102.30,102.83,100.80,101.32,102.38,99.87,103.29,99.19,102.86,103.48,102.71,103.78,100.94,103.53,101.21,100.88,95.38,111.05,101.55,101.36,103.35,101.97,107.82,103.86,101.93,104.49,101.92,101.19,104.58,100.99,102.72,101.59,99.91,104.21,100.78,103.52,97.93,103.06,107.11,104.38,93.76,102.23,100.13,96.83,104.67,101.62,103.00,100.00,101.38,100.90,99.95,100.04,101.36,100.77,101.09,101.22,100.68,100.14,102.39,101.84,112.38,100.00,103.50,107.53,101.11,98.93,112.75,110.84,104.56,106.55,107.50,105.89,109.48,107.52,96.66,111.49,107.31,96.91,101.82,104.07,104.54,110.62,101.00,104.89,102.72,105.14,100.42,104.11,104.18,111.38,104.97,101.27,105.22,102.14,107.65,102.68,102.33,112.17,103.37,119.51
2001-06-01,103.23,109.04,107.40,112.13,102.72,100.00,105.47,100.00,100.00,102.81,101.51,101.56,105.79,107.31,107.92,104.96,108.21,104.14,105.99,97.72,101.53,102.02,125.38,104.95,97.19,117.22,87.86,102.23,103.16,73.12,158.47,109.77,104.48,96.39,85.08,170.78,115.71,104.65,108.87,142.99,143.91,101.58,103.65,105.46,132.27,103.96,104.49,100.13,99.79,107.90,111.29,101.59,102.02,103.78,102.59,103.73,106.33,103.87,106.14,107.55,103.36,108.54,106.70,102.14,101.02,100.46,103.61,101.45,101.89,101.07,102.19,101.72,101.77,102.45,98.54,103.78,100.20,97.31,104.14,106.43,101.76,102.00,103.28,104.26,106.08,102.57,99.87,107.56,106.80,103.81,101.46,101.58,103.17,101.40,103.25,102.08,101.80,101.08,103.53,105.25,104.93,104.43,102.00,94.30,100.85,102.25,103.11,101.10,102.19,97.25,104.17,105.38,100.67,102.25,100.20,102.05,102.86,102.69,102.78,103.16,101.20,101.50,102.75,100.01,103.17,99.64,102.83,103.54,102.53,103.78,100.52,103.60,103.06,101.11,95.48,111.24,102.15,101.74,104.46,102.44,110.94,104.14,102.35,104.90,102.88,101.76,104.54,102.65,103.47,102.53,100.60,105.51,101.82,103.26,98.08,102.88,107.23,104.66,95.77,102.23,100.13,98.39,104.67,101.59,103.00,100.00,101.38,100.82,100.28,96.22,101.82,103.79,101.66,101.76,101.26,100.61,102.42,102.07,112.38,100.00,104.11,107.70,101.11,101.15,109.33,124.92,105.85,106.55,107.50,105.89,109.48,107.52,96.66,111.51,107.32,97.05,101.73,104.87,104.91,110.62,101.00,105.02,103.07,105.47,101.46,104.44,104.26,111.41,105.10,101.38,105.51,102.12,108.33,103.40,103.53,113.52,103.73,119.53
2001-07-01,104.35,112.72,107.96,117.19,105.09,100.00,105.66,100.00,100.00,103.80,101.78,101.56,106.89,106.74,108.34,105.69,109.06,104.95,105.76,98.11,102.19,102.34,137.05,107.20,100.63,119.06,90.87,105.75,101.07,66.85,153.55,107.92,123.56,102.04,88.91,166.67,137.47,105.99,110.94,133.35,119.04,101.75,104.02,105.52,134.24,104.13,104.79,100.98,100.54,110.63,112.89,101.76,102.82,104.18,102.80,104.32,108.06,107.35,106.71,107.72,104.53,109.24,106.84,103.86,101.62,100.88,103.85,102.60,101.79,101.43,103.36,102.20,102.23,103.07,99.23,104.29,100.76,97.48,104.52,107.49,101.99,102.55,103.58,104.46,106.37,103.20,99.87,107.98,106.01,103.63,101.17,101.71,103.27,102.15,103.53,102.14,101.88,101.21,103.51,105.33,105.19,104.43,102.45,90.18,102.54,102.25,103.63,101.36,102.29,97.45,104.85,106.49,97.52,100.95,100.18,102.54,103.36,102.65,102.55,103.29,101.85,102.02,102.36,100.27,103.12,99.87,102.75,103.58,102.81,103.92,101.03,104.05,103.34,101.57,96.08,111.79,102.84,101.86,104.92,104.03,111.54,104.64,102.55,105.06,104.29,102.86,104.65,102.80,103.43,103.17,100.58,105.55,102.08,101.49,98.69,103.11,108.98,105.56,97.74,102.23,100.13,98.96,106.81,101.59,103.15,100.00,99.71,101.52,100.43,96.18,102.41,104.17,101.70,102.10,101.47,100.62,102.85,102.38,112.38,101.87,105.62,107.74,101.11,101.16,114.33,126.26,106.32,106.56,107.54,105.89,109.61,107.90,96.66,111.51,107.33,96.95,102.03,105.64,105.50,110.62,100.99,105.16,103.51,105.56,101.21,104.88,104.57,111.95,105.37,101.72,105.76,102.08,109.31,104.31,103.61,114.11,104.63,120.02
2001-08-01,106.18,116.69,110.18,119.91,106.81,100.00,108.22,100.00,100.00,106.98,102.67,103.47,109.88,108.45,112.81,107.82,111.72,106.84,108.41,98.33,103.60,105.03,141.44,112.64,103.73,132.27,93.20,103.61,103.93,94.16,120.68,104.38,134.85,92.55,89.39,171.46,141.23,105.25,116.48,109.52,107.57,103.70,105.67,107.92,135.43,105.37,106.18,102.91,102.34,114.14,111.54,103.50,104.76,105.53,104.26,106.33,108.98,109.94,108.07,109.21,109.03,110.88,107.98,104.78,103.43,101.67,104.52,102.73,102.50,101.27,104.26,102.68,102.96,103.94,100.43,104.36,101.09,98.40,106.36,108.75,102.40,102.67,104.05,105.20,107.57,103.49,100.32,108.21,106.98,103.77,101.68,101.78,103.62,102.66,103.71,102.49,103.01,102.02,104.43,105.68,105.30,104.74,104.21,84.69,103.78,102.25,104.51,101.48,103.26,97.50,106.06,106.75,98.19,101.26,100.99,102.67,103.47,102.98,102.76,103.29,101.70,102.40,102.00,101.19,103.70,100.04,105.89,104.10,103.51,105.01,101.73,104.57,104.09,102.76,96.62,112.76,103.86,102.43,105.84,104.30,112.58,105.38,104.66,106.12,105.39,105.09,105.90,103.59,105.30,104.57,100.72,106.33,103.45,102.87,102.17,104.12,109.25,105.63,95.02,102.23,100.13,100.39,107.39,102.20,103.62,100.00,99.68,101.87,100.51,97.44,102.77,104.51,101.79,102.84,102.03,100.66,102.20,103.22,113.12,101.96,108.69,109.63,102.07,101.65,115.27,128.70,106.72,106.62,107.54,105.89,109.56,107.89,96.66,111.51,107.33,96.95,102.18,106.56,107.49,112.52,101.14,105.44,104.43,106.66,101.64,105.78,105.48,113.01,106.12,102.66,106.94,103.25,111.65,106.70,104.39,114.47,104.76,120.63
2001-09-01,106.42,118.40,110.43,120.16,107.69,100.00,108.74,100.00,100.00,108.10,102.52,103.83,110.05,109.37,112.97,108.09,112.29,107.30,108.51,98.47,103.75,105.43,131.82,110.00,103.30,126.63,93.93,102.82,104.07,78.99,117.01,101.95,137.74,90.94,87.83,173.36,138.36,102.92,120.26,115.94,117.47,104.09,106.12,108.35,136.55,105.87,106.45,102.67,102.49,116.05,113.67,103.91,104.96,106.10,104.29,107.24,108.83,110.57,109.64,109.84,110.14,111.37,107.48,105.77,102.80,102.32,105.42,104.83,102.85,101.30,105.12,102.81,103.78,104.83,99.90,103.98,101.34,98.55,106.69,109.04,102.41,103.10,104.96,103.43,108.00,104.10,99.92,108.38,107.41,104.51,102.18,101.78,103.26,103.17,103.90,102.80,103.47,102.71,104.97,106.11,106.25,107.18,104.82,81.88,104.63,105.98,106.44,102.38,104.02,97.57,105.14,107.50,108.10,100.54,103.67,105.49,103.50,105.13,104.13,103.30,101.96,102.69,102.24,102.11,104.12,100.84,106.46,104.83,104.25,108.16,102.06,104.92,104.35,103.08,97.00,113.59,105.08,102.88,106.99,104.50,113.15,106.68,105.72,106.62,106.88,105.58,107.20,104.08,104.42,104.57,100.82,107.01,105.20,102.71,102.59,104.81,109.37,106.00,92.13,102.81,100.13,101.35,104.74,102.04,107.95,100.00,99.68,102.56,101.60,97.71,104.01,105.89,102.69,102.98,102.16,100.42,102.19,103.36,113.72,102.05,109.68,109.94,102.36,102.07,117.32,122.96,108.89,106.62,107.55,105.89,109.56,107.89,96.66,111.51,107.37,96.95,103.17,107.50,109.57,112.52,101.14,105.98,105.64,108.24,102.43,106.54,106.03,113.59,107.16,103.26,107.88,103.51,113.04,108.95,106.67,114.94,104.76,120.65
