Code,GroupName,Level
_0111101,Arroz,Gasto básico
_0111201,Harina,Gasto básico
_0111202,Maíz,Gasto básico
_0111203,Cereales,Gasto básico
_0111301,Pan,Gasto básico
_0111302,Galletas,Gasto básico
_0111303,Productos de repostería,Gasto básico
_0111401,Pastas,Gasto básico
_0111501,Productos de tortillería,Gasto básico
_0112101,Carne de res,Gasto básico
_0112201,Carne de cerdo,Gasto básico
_0112301,Carne de pollo,Gasto básico
_0112401,Embutidos,Gasto básico
_0113101,Pescados,Gasto básico
_0113201,Mariscos,Gasto básico
_0114101,Leche,Gasto básico
_0114102,Yogur,Gasto básico
_0114301,Quesos,Gasto básico
_0114401,Huevos,Gasto básico
_0115101,Margarina,Gasto básico
_0115201,Aceites,Gasto básico
_0116101,Aguacate,Gasto básico
_0116102,Banano,Gasto básico
_0116103,Manzana,Gasto básico
_0116104,Naranja,Gasto básico
_0116105,Plátano,Gasto básico
_0116106,Frutas de estación,Gasto básico
_0116201,Frutas en conserva,Gasto básico
_0117101,Tomate,Gasto básico
_0117102,Güisquil,Gasto básico
_0117103,Chile pimiento,Gasto básico
_0117104,Pepino,Gasto básico
_0117105,Güicoy,Gasto básico
_0117106,Repollo,Gasto básico
_0117107,Lechuga,Gasto básico
_0117108,Frijol,Gasto básico
_0117109,Ejotes,Gasto básico
_0117110,Elote,Gasto básico
_0117111,Cebolla,Gasto básico
_0117112,Papa,Gasto básico
_0117113,Zanahoria,Gasto básico
_0117114,Rábano,Gasto básico
_0117115,Remolacha,Gasto básico
_0117116,Yuca,Gasto básico
_0117117,Brócoli,Gasto básico
_0117118,Culantro,Gasto básico
_0117119,Hierbabuena,Gasto básico
_0117120,Otras legumbres y hortalizas,Gasto básico
_0118101,Azúcar,Gasto básico
_0118201,Jaleas,Gasto básico
_0118202,Compotas,Gasto básico
_0118301,Dulces,Gasto básico
_0118401,Helados,Gasto básico
_0119101,Salsa de tomate,Gasto básico
_0119102,Pasta de tomate,Gasto básico
_0119103,Mayonesa y mostaza,Gasto básico
